Country/Region,Region,Year,Birth Rate,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban
Poland,Europe,12/1/2009,1.10%,0.152,0.715,0.134,38.2M,61.00%
Czech Republic,Europe,12/1/2009,1.10%,0.142,0.708,0.15,10.4M,73.30%
Slovenia,Europe,12/1/2009,1.10%,0.14,0.696,0.165,2.0M,50.10%
Denmark,Europe,12/1/2009,1.10%,0.181,0.656,0.163,5.5M,86.70%
Finland,Europe,12/1/2009,1.10%,0.166,0.666,0.167,5.3M,83.40%
Greece,Europe,12/1/2009,1.10%,0.145,0.667,0.189,11.2M,75.90%
Luxembourg,Europe,12/1/2009,1.10%,0.178,0.682,0.14,0.5M,88.20%
Netherlands,Europe,12/1/2009,1.10%,0.177,0.673,0.15,16.5M,86.20%
Spain,Europe,12/1/2009,1.10%,0.148,0.682,0.17,46.4M,78.20%
Liechtenstein,Europe,12/1/2009,1.10%,0,0,0,0.0M,14.50%
San Marino,Europe,12/1/2009,1.10%,0,0,0,0.0M,94.10%
Russia,Europe,12/1/2009,1.20%,0.148,0.72,0.133,141.9M,73.60%
Moldova,Europe,12/1/2009,1.20%,0.169,0.719,0.112,3.6M,44.90%
Lithuania,Europe,12/1/2009,1.20%,0.154,0.692,0.155,3.2M,66.80%
Estonia,Europe,12/1/2009,1.20%,0.153,0.674,0.174,1.3M,68.20%
Montenegro,Europe,12/1/2009,1.20%,0.196,0.679,0.125,0.6M,62.90%
Cyprus,Europe,12/1/2009,1.20%,0.181,0.705,0.114,1.1M,67.70%
Belgium,Europe,12/1/2009,1.20%,0.168,0.661,0.171,10.8M,97.60%
Sweden,Europe,12/1/2009,1.20%,0.166,0.655,0.179,9.3M,84.90%
Albania,Europe,12/1/2009,1.30%,0.236,0.666,0.098,2.9M,51.10%
United Kingdom,Europe,12/1/2009,1.30%,0.176,0.66,0.164,62.3M,81.00%
France,Europe,12/1/2009,1.30%,0.184,0.65,0.166,64.7M,78.10%
Norway,Europe,12/1/2009,1.30%,0.189,0.662,0.149,4.8M,78.80%
Iceland,Europe,12/1/2009,1.60%,0.211,0.669,0.12,0.3M,93.50%
Ireland,Europe,12/1/2009,1.70%,0.212,0.676,0.112,4.5M,61.60%
Turkey,Europe,12/1/2009,1.80%,0.271,0.66,0.069,71.2M,70.10%
Kosovo,Europe,12/1/2009,1.90%,0,0,0,1.8M,0.00%
Isle of Man,Europe,12/1/2010,0,0,0,0,0.1M,52.00%
Monaco,Europe,12/1/2010,0,0,0,0,0.0M,100.00%
Faeroe Islands,Europe,12/1/2010,0,0,0,0,0.0M,40.90%
Germany,Europe,12/1/2010,0.80%,0.134,0.658,0.208,81.8M,74.30%
Latvia,Europe,12/1/2010,0.90%,0.142,0.675,0.184,2.1M,67.70%
Serbia,Europe,12/1/2010,0.90%,0.169,0.694,0.137,7.3M,55.20%
Hungary,Europe,12/1/2010,0.90%,0.146,0.686,0.167,10.0M,68.90%
Bosnia and Herzegovina,Europe,12/1/2010,0.90%,0.174,0.675,0.151,3.8M,39.20%
Austria,Europe,12/1/2010,0.90%,0.148,0.674,0.178,8.4M,65.90%
Malta,Europe,12/1/2010,0.90%,0.156,0.699,0.145,0.4M,94.70%
Liechtenstein,Europe,12/1/2010,0.90%,0,0,0,0.0M,14.50%
Italy,Europe,12/1/2010,0.90%,0.14,0.657,0.203,59.3M,68.30%
Andorra,Europe,12/1/2010,1.00%,0,0,0,0.1M,87.80%
Bulgaria,Europe,12/1/2010,1.00%,0.133,0.683,0.183,7.4M,72.30%
Croatia,Europe,12/1/2010,1.00%,0.153,0.672,0.175,4.4M,57.50%
Portugal,Europe,12/1/2010,1.00%,0.151,0.668,0.18,10.6M,60.60%
Greece,Europe,12/1/2010,1.00%,0.145,0.665,0.19,11.2M,76.30%
Spain,Europe,12/1/2010,1.00%,0.149,0.68,0.171,46.6M,78.40%
Switzerland,Europe,12/1/2010,1.00%,0.151,0.68,0.169,7.8M,73.70%
Ukraine,Europe,12/1/2010,1.10%,0.139,0.703,0.158,45.9M,68.70%
Belarus,Europe,12/1/2010,1.10%,0.148,0.712,0.139,9.5M,74.60%
Romania,Europe,12/1/2010,1.10%,0.15,0.701,0.148,20.2M,53.80%
Slovakia,Europe,12/1/2010,1.10%,0.151,0.726,0.123,5.4M,54.70%
Poland,Europe,12/1/2010,1.10%,0.15,0.715,0.135,38.2M,60.90%
North Macedonia,Europe,12/1/2010,1.10%,0.174,0.709,0.117,2.1M,57.00%
Czech Republic,Europe,12/1/2010,1.10%,0.142,0.704,0.154,10.5M,73.30%
Slovenia,Europe,12/1/2010,1.10%,0.14,0.693,0.167,2.0M,50.00%
Denmark,Europe,12/1/2010,1.10%,0.18,0.654,0.167,5.5M,86.80%
Finland,Europe,12/1/2010,1.10%,0.165,0.664,0.171,5.4M,83.60%
Netherlands,Europe,12/1/2010,1.10%,0.175,0.671,0.154,16.6M,87.10%
San Marino,Europe,12/1/2010,1.10%,0,0,0,0.0M,94.10%
Moldova,Europe,12/1/2010,1.20%,0.167,0.722,0.112,3.6M,44.90%
Lithuania,Europe,12/1/2010,1.20%,0.152,0.693,0.155,3.1M,66.80%
Estonia,Europe,12/1/2010,1.20%,0.154,0.671,0.175,1.3M,68.10%
Montenegro,Europe,12/1/2010,1.20%,0.195,0.681,0.125,0.6M,63.10%
Cyprus,Europe,12/1/2010,1.20%,0.178,0.707,0.116,1.1M,67.60%
Belgium,Europe,12/1/2010,1.20%,0.168,0.661,0.172,10.9M,97.60%
Luxembourg,Europe,12/1/2010,1.20%,0.176,0.684,0.14,0.5M,88.50%
Sweden,Europe,12/1/2010,1.20%,0.165,0.653,0.182,9.4M,85.10%
Russia,Europe,12/1/2010,1.30%,0.149,0.72,0.131,142.4M,73.70%
Albania,Europe,12/1/2010,1.30%,0.228,0.671,0.101,2.9M,52.20%
France,Europe,12/1/2010,1.30%,0.184,0.648,0.168,65.0M,78.30%
United Kingdom,Europe,12/1/2010,1.30%,0.176,0.659,0.166,62.8M,81.30%
Norway,Europe,12/1/2010,1.30%,0.188,0.662,0.15,4.9M,79.10%
Iceland,Europe,12/1/2010,1.50%,0.209,0.669,0.121,0.3M,93.60%
Ireland,Europe,12/1/2010,1.70%,0.213,0.673,0.113,4.6M,61.80%
Turkey,Europe,12/1/2010,1.80%,0.267,0.662,0.071,72.1M,70.70%
Kosovo,Europe,12/1/2010,1.90%,0.275,0.659,0.067,1.8M,0.00%
Isle of Man,Europe,12/1/2011,0,0,0,0,0.1M,52.00%
Andorra,Europe,12/1/2011,0,0,0,0,0.1M,87.30%
Monaco,Europe,12/1/2011,0,0,0,0,0.0M,100.00%
Germany,Europe,12/1/2011,0.80%,0.133,0.657,0.21,81.8M,74.50%
Latvia,Europe,12/1/2011,0.90%,0.143,0.672,0.185,2.1M,67.60%
Hungary,Europe,12/1/2011,0.90%,0.146,0.685,0.169,10.0M,69.30%
Serbia,Europe,12/1/2011,0.90%,0.167,0.695,0.138,7.2M,55.30%
Bosnia and Herzegovina,Europe,12/1/2011,0.90%,0.169,0.678,0.153,3.8M,39.30%
Portugal,Europe,12/1/2011,0.90%,0.15,0.667,0.182,10.6M,61.20%
Austria,Europe,12/1/2011,0.90%,0.146,0.673,0.181,8.4M,65.90%
Italy,Europe,12/1/2011,0.90%,0.14,0.654,0.205,59.4M,68.40%
Romania,Europe,12/1/2011,1.00%,0.15,0.701,0.149,20.1M,54.00%
Bulgaria,Europe,12/1/2011,1.00%,0.134,0.68,0.186,7.3M,72.60%
Poland,Europe,12/1/2011,1.00%,0.149,0.713,0.137,38.5M,60.80%
Croatia,Europe,12/1/2011,1.00%,0.151,0.671,0.177,4.3M,57.80%
Czech Republic,Europe,12/1/2011,1.00%,0.143,0.699,0.158,10.5M,73.20%
Greece,Europe,12/1/2011,1.00%,0.146,0.663,0.192,11.1M,76.60%
Malta,Europe,12/1/2011,1.00%,0.153,0.697,0.15,0.4M,94.80%
San Marino,Europe,12/1/2011,1.00%,0,0,0,0.0M,94.10%
Spain,Europe,12/1/2011,1.00%,0.151,0.677,0.173,46.7M,78.70%
Switzerland,Europe,12/1/2011,1.00%,0.149,0.679,0.172,7.9M,73.70%
Ukraine,Europe,12/1/2011,1.10%,0.14,0.704,0.156,45.7M,68.90%
Lithuania,Europe,12/1/2011,1.10%,0.151,0.693,0.155,3.0M,66.70%
Estonia,Europe,12/1/2011,1.10%,0.155,0.668,0.176,1.3M,68.00%
Slovakia,Europe,12/1/2011,1.10%,0.15,0.725,0.125,5.4M,54.40%
North Macedonia,Europe,12/1/2011,1.10%,0.171,0.71,0.118,2.1M,57.00%
Slovenia,Europe,12/1/2011,1.10%,0.141,0.691,0.169,2.1M,49.90%
Finland,Europe,12/1/2011,1.10%,0.164,0.659,0.177,5.4M,83.70%
Denmark,Europe,12/1/2011,1.10%,0.178,0.651,0.171,5.6M,87.00%
Netherlands,Europe,12/1/2011,1.10%,0.173,0.667,0.159,16.7M,87.80%
Luxembourg,Europe,12/1/2011,1.10%,0.175,0.685,0.14,0.5M,88.90%
Liechtenstein,Europe,12/1/2011,1.10%,0,0,0,0.0M,14.40%
Moldova,Europe,12/1/2011,1.20%,0.165,0.723,0.112,3.6M,44.90%
Belarus,Europe,12/1/2011,1.20%,0.149,0.712,0.138,9.5M,75.00%
Montenegro,Europe,12/1/2011,1.20%,0.193,0.682,0.126,0.6M,63.30%
Cyprus,Europe,12/1/2011,1.20%,0.174,0.708,0.118,1.1M,67.40%
Belgium,Europe,12/1/2011,1.20%,0.168,0.658,0.174,11.0M,97.70%
Faeroe Islands,Europe,12/1/2011,1.20%,0,0,0,0.0M,41.10%
Norway,Europe,12/1/2011,1.20%,0.187,0.661,0.152,5.0M,79.40%
Sweden,Europe,12/1/2011,1.20%,0.166,0.649,0.185,9.4M,85.20%
Russia,Europe,12/1/2011,1.30%,0.151,0.718,0.13,143.0M,73.70%
Albania,Europe,12/1/2011,1.30%,0.221,0.676,0.103,2.8M,53.20%
United Kingdom,Europe,12/1/2011,1.30%,0.175,0.656,0.169,63.3M,81.60%
France,Europe,12/1/2011,1.30%,0.183,0.646,0.171,65.3M,78.60%
Iceland,Europe,12/1/2011,1.40%,0.208,0.669,0.123,0.3M,93.70%
Ireland,Europe,12/1/2011,1.60%,0.215,0.67,0.115,4.6M,62.10%
Turkey,Europe,12/1/2011,1.70%,0.264,0.665,0.072,73.1M,71.30%
Kosovo,Europe,12/1/2011,1.80%,0,0,0,1.8M,0.00%
Isle of Man,Europe,12/1/2012,0,0,0,0,0.1M,52.00%
Monaco,Europe,12/1/2012,0,0,0,0,0.0M,100.00%
Germany,Europe,12/1/2012,0.80%,0.132,0.657,0.211,80.4M,74.70%
Hungary,Europe,12/1/2012,0.90%,0.146,0.683,0.17,9.9M,69.80%
Serbia,Europe,12/1/2012,0.90%,0.165,0.695,0.14,7.2M,55.30%
Bosnia and Herzegovina,Europe,12/1/2012,0.90%,0.163,0.682,0.155,3.8M,39.40%
Portugal,Europe,12/1/2012,0.90%,0.149,0.666,0.185,10.5M,61.80%
Greece,Europe,12/1/2012,0.90%,0.146,0.66,0.194,11.1M,77.00%
Austria,Europe,12/1/2012,0.90%,0.145,0.672,0.182,8.4M,65.90%
Italy,Europe,12/1/2012,0.90%,0.14,0.651,0.208,59.5M,68.60%
Andorra,Europe,12/1/2012,1.00%,0,0,0,0.1M,86.70%
San Marino,Europe,12/1/2012,1.00%,0,0,0,0.0M,94.10%
Lithuania,Europe,12/1/2012,1.00%,0.151,0.693,0.156,3.0M,66.60%
Latvia,Europe,12/1/2012,1.00%,0.146,0.669,0.185,2.0M,67.50%
Romania,Europe,12/1/2012,1.00%,0.15,0.7,0.15,20.1M,54.10%
Bulgaria,Europe,12/1/2012,1.00%,0.135,0.675,0.189,7.3M,73.00%
Slovakia,Europe,12/1/2012,1.00%,0.15,0.723,0.127,5.4M,54.20%
Poland,Europe,12/1/2012,1.00%,0.149,0.71,0.14,38.5M,60.70%
Croatia,Europe,12/1/2012,1.00%,0.15,0.67,0.18,4.3M,58.10%
Czech Republic,Europe,12/1/2012,1.00%,0.146,0.692,0.162,10.5M,73.10%
Denmark,Europe,12/1/2012,1.00%,0.177,0.649,0.175,5.6M,87.10%
Malta,Europe,12/1/2012,1.00%,0.15,0.694,0.156,0.4M,95.00%
Liechtenstein,Europe,12/1/2012,1.00%,0,0,0,0.0M,14.40%
Spain,Europe,12/1/2012,1.00%,0.152,0.673,0.175,46.8M,78.90%
Switzerland,Europe,12/1/2012,1.00%,0.148,0.678,0.174,8.0M,73.70%
Ukraine,Europe,12/1/2012,1.10%,0.142,0.705,0.153,45.6M,69.10%
Estonia,Europe,12/1/2012,1.10%,0.157,0.665,0.178,1.3M,67.80%
North Macedonia,Europe,12/1/2012,1.10%,0.169,0.711,0.12,2.1M,57.00%
Slovenia,Europe,12/1/2012,1.10%,0.142,0.688,0.171,2.1M,49.90%
Belgium,Europe,12/1/2012,1.10%,0.169,0.655,0.176,11.1M,97.70%
Finland,Europe,12/1/2012,1.10%,0.164,0.653,0.183,5.4M,83.80%
Netherlands,Europe,12/1/2012,1.10%,0.172,0.663,0.164,16.8M,88.60%
Luxembourg,Europe,12/1/2012,1.10%,0.175,0.685,0.141,0.5M,89.20%
Moldova,Europe,12/1/2012,1.20%,0.165,0.722,0.112,3.6M,44.90%
Belarus,Europe,12/1/2012,1.20%,0.151,0.711,0.138,9.5M,75.50%
Montenegro,Europe,12/1/2012,1.20%,0.19,0.682,0.128,0.6M,63.50%
Cyprus,Europe,12/1/2012,1.20%,0.172,0.708,0.12,1.1M,67.30%
Norway,Europe,12/1/2012,1.20%,0.186,0.659,0.155,5.0M,79.70%
Sweden,Europe,12/1/2012,1.20%,0.167,0.644,0.189,9.5M,85.40%
Russia,Europe,12/1/2012,1.30%,0.154,0.716,0.13,143.2M,73.80%
Albania,Europe,12/1/2012,1.30%,0.213,0.681,0.106,2.8M,54.30%
France,Europe,12/1/2012,1.30%,0.183,0.643,0.175,65.7M,78.80%
United Kingdom,Europe,12/1/2012,1.30%,0.175,0.653,0.172,63.7M,81.80%
Faeroe Islands,Europe,12/1/2012,1.30%,0,0,0,0.0M,41.30%
Iceland,Europe,12/1/2012,1.40%,0.207,0.667,0.126,0.3M,93.80%
Ireland,Europe,12/1/2012,1.60%,0.215,0.667,0.118,4.6M,62.40%
Turkey,Europe,12/1/2012,1.70%,0.26,0.667,0.073,74.0M,71.80%
Kosovo,Europe,12/1/2012,1.80%,0,0,0,1.8M,0.00%
Lebanon,Middle East,12/1/2005,1.40%,0.279,0.646,0.075,4.0M,86.60%
Qatar,Middle East,12/1/2005,1.50%,0.237,0.749,0.014,0.8M,97.40%
United Arab Emirates,Middle East,12/1/2005,1.60%,0.2,0.791,0.008,4.1M,82.30%
Iran,Middle East,12/1/2005,1.80%,0.258,0.693,0.049,70.2M,67.60%
Bahrain,Middle East,12/1/2005,1.90%,0.269,0.709,0.022,0.9M,88.40%
Kuwait,Middle East,12/1/2005,2.10%,0.255,0.712,0.033,2.3M,98.20%
Israel,Middle East,12/1/2005,2.10%,0.279,0.621,0.1,6.9M,91.50%
Oman,Middle East,12/1/2005,2.20%,0.351,0.624,0.025,2.5M,72.40%
Saudi Arabia,Middle East,12/1/2005,2.30%,0.343,0.626,0.031,24.7M,81.00%
Syria,Middle East,12/1/2005,2.70%,0.386,0.58,0.034,18.2M,53.80%
Jordan,Middle East,12/1/2005,3.00%,0.379,0.589,0.032,5.4M,81.20%
Iraq,Middle East,12/1/2005,3.40%,0.419,0.546,0.035,27.4M,68.80%
Yemen,Middle East,12/1/2005,3.50%,0.457,0.517,0.026,20.1M,28.90%
Lebanon,Middle East,12/1/2006,1.40%,0.274,0.65,0.076,4.1M,86.70%
Qatar,Middle East,12/1/2006,1.40%,0.21,0.778,0.013,1.0M,97.80%
United Arab Emirates,Middle East,12/1/2006,1.60%,0.18,0.813,0.007,4.9M,82.60%
Iran,Middle East,12/1/2006,1.80%,0.249,0.701,0.05,71.0M,68.20%
Bahrain,Middle East,12/1/2006,1.80%,0.252,0.727,0.022,1.0M,88.40%
Kuwait,Middle East,12/1/2006,2.10%,0.255,0.715,0.031,2.4M,98.20%
Israel,Middle East,12/1/2006,2.10%,0.277,0.622,0.101,7.1M,91.60%
Oman,Middle East,12/1/2006,2.20%,0.34,0.635,0.025,2.6M,73.00%
Saudi Arabia,Middle East,12/1/2006,2.30%,0.335,0.634,0.03,25.4M,81.20%
Syria,Middle East,12/1/2006,2.70%,0.38,0.585,0.034,18.8M,54.20%
Jordan,Middle East,12/1/2006,3.00%,0.374,0.594,0.032,5.5M,81.40%
Iraq,Middle East,12/1/2006,3.40%,0.418,0.547,0.034,28.1M,68.80%
Yemen,Middle East,12/1/2006,3.50%,0.449,0.524,0.026,20.7M,29.50%
Lebanon,Middle East,12/1/2007,1.30%,0.266,0.655,0.078,4.1M,86.80%
Qatar,Middle East,12/1/2007,1.30%,0.183,0.805,0.012,1.2M,98.00%
United Arab Emirates,Middle East,12/1/2007,1.60%,0.162,0.833,0.005,5.8M,83.00%
Bahrain,Middle East,12/1/2007,1.80%,0.233,0.746,0.021,1.0M,88.40%
Iran,Middle East,12/1/2007,1.90%,0.242,0.707,0.051,71.8M,68.90%
Kuwait,Middle East,12/1/2007,2.10%,0.254,0.718,0.028,2.6M,98.20%
Israel,Middle East,12/1/2007,2.10%,0.275,0.623,0.102,7.2M,91.60%
Saudi Arabia,Middle East,12/1/2007,2.20%,0.328,0.642,0.03,25.9M,81.40%
Oman,Middle East,12/1/2007,2.20%,0.327,0.649,0.024,2.6M,73.50%
Syria,Middle East,12/1/2007,2.60%,0.373,0.592,0.035,19.6M,54.50%
Jordan,Middle East,12/1/2007,3.00%,0.368,0.6,0.033,5.7M,81.70%
Yemen,Middle East,12/1/2007,3.40%,0.442,0.532,0.026,21.2M,30.00%
Iraq,Middle East,12/1/2007,3.40%,0.417,0.548,0.034,28.7M,68.90%
Lebanon,Middle East,12/1/2008,1.30%,0.257,0.662,0.081,4.2M,86.90%
Qatar,Middle East,12/1/2008,1.30%,0.161,0.827,0.012,1.4M,98.30%
United Arab Emirates,Middle East,12/1/2008,1.60%,0.149,0.847,0.004,6.8M,83.40%
Bahrain,Middle East,12/1/2008,1.70%,0.217,0.763,0.021,1.1M,88.50%
Iran,Middle East,12/1/2008,1.90%,0.239,0.71,0.051,72.7M,69.50%
Kuwait,Middle East,12/1/2008,2.10%,0.254,0.721,0.025,2.7M,98.20%
Saudi Arabia,Middle East,12/1/2008,2.20%,0.32,0.65,0.03,26.4M,81.60%
Oman,Middle East,12/1/2008,2.20%,0.311,0.665,0.024,2.6M,74.10%
Israel,Middle East,12/1/2008,2.20%,0.274,0.624,0.103,7.3M,91.70%
Syria,Middle East,12/1/2008,2.60%,0.367,0.598,0.036,20.3M,54.90%
Jordan,Middle East,12/1/2008,3.00%,0.362,0.605,0.033,5.8M,82.00%
Yemen,Middle East,12/1/2008,3.30%,0.434,0.539,0.027,21.7M,30.60%
Iraq,Middle East,12/1/2008,3.30%,0.416,0.549,0.034,29.4M,68.90%
Qatar,Middle East,12/1/2009,1.20%,0.146,0.843,0.011,1.6M,98.50%
Lebanon,Middle East,12/1/2009,1.30%,0.247,0.67,0.083,4.2M,87.10%
United Arab Emirates,Middle East,12/1/2009,1.60%,0.141,0.855,0.004,7.7M,83.70%
Bahrain,Middle East,12/1/2009,1.70%,0.205,0.775,0.02,1.2M,88.50%
Iran,Middle East,12/1/2009,1.90%,0.237,0.712,0.051,73.5M,70.00%
Kuwait,Middle East,12/1/2009,2.10%,0.253,0.724,0.023,2.9M,98.20%
Saudi Arabia,Middle East,12/1/2009,2.10%,0.313,0.657,0.03,26.8M,81.90%
Oman,Middle East,12/1/2009,2.20%,0.292,0.683,0.024,2.7M,74.60%
Israel,Middle East,12/1/2009,2.20%,0.272,0.624,0.104,7.5M,91.80%
Syria,Middle East,12/1/2009,2.50%,0.361,0.602,0.036,21.0M,55.30%
Jordan,Middle East,12/1/2009,2.90%,0.356,0.61,0.034,5.9M,82.20%
Yemen,Middle East,12/1/2009,3.30%,0.427,0.547,0.027,22.2M,31.20%
Iraq,Middle East,12/1/2009,3.30%,0.415,0.551,0.034,30.2M,69.00%
Qatar,Middle East,12/1/2010,1.20%,0.137,0.852,0.011,1.7M,98.70%
Lebanon,Middle East,12/1/2010,1.30%,0.237,0.678,0.084,4.3M,87.20%
Bahrain,Middle East,12/1/2010,1.60%,0.199,0.781,0.02,1.3M,88.50%
United Arab Emirates,Middle East,12/1/2010,1.60%,0.139,0.858,0.003,8.4M,84.10%
Iran,Middle East,12/1/2010,1.90%,0.236,0.712,0.052,74.5M,70.60%
Kuwait,Middle East,12/1/2010,2.10%,0.252,0.726,0.021,3.0M,98.30%
Saudi Arabia,Middle East,12/1/2010,2.10%,0.307,0.663,0.03,27.3M,82.10%
Oman,Middle East,12/1/2010,2.20%,0.274,0.701,0.025,2.8M,75.20%
Israel,Middle East,12/1/2010,2.20%,0.272,0.623,0.104,7.6M,91.80%
Syria,Middle East,12/1/2010,2.50%,0.357,0.605,0.037,21.5M,55.70%
Jordan,Middle East,12/1/2010,2.90%,0.351,0.615,0.034,6.0M,82.50%
Yemen,Middle East,12/1/2010,3.20%,0.42,0.553,0.027,22.8M,31.70%
Iraq,Middle East,12/1/2010,3.20%,0.412,0.554,0.034,31.0M,69.00%
Qatar,Middle East,12/1/2011,1.10%,0.134,0.856,0.01,1.9M,98.80%
Lebanon,Middle East,12/1/2011,1.30%,0.227,0.688,0.085,4.4M,87.30%
Bahrain,Middle East,12/1/2011,1.60%,0.198,0.781,0.021,1.3M,88.60%
United Arab Emirates,Middle East,12/1/2011,1.60%,0.14,0.857,0.003,8.9M,84.40%
Iran,Middle East,12/1/2011,1.90%,0.236,0.712,0.052,75.4M,71.20%
Saudi Arabia,Middle East,12/1/2011,2.00%,0.302,0.669,0.029,27.8M,82.30%
Kuwait,Middle East,12/1/2011,2.10%,0.251,0.728,0.021,3.1M,98.30%
Israel,Middle East,12/1/2011,2.10%,0.273,0.622,0.105,7.8M,91.90%
Oman,Middle East,12/1/2011,2.20%,0.257,0.717,0.026,3.0M,75.70%
Syria,Middle East,12/1/2011,2.50%,0.355,0.607,0.038,22.0M,56.10%
Jordan,Middle East,12/1/2011,2.80%,0.346,0.62,0.034,6.2M,82.70%
Yemen,Middle East,12/1/2011,3.20%,0.413,0.559,0.028,23.3M,32.30%
Iraq,Middle East,12/1/2011,3.20%,0.409,0.558,0.033,31.8M,69.10%
Qatar,Middle East,12/1/2012,1.10%,0.133,0.857,0.01,2.1M,98.90%
Lebanon,Middle East,12/1/2012,1.30%,0.216,0.698,0.086,4.4M,87.40%
United Arab Emirates,Middle East,12/1/2012,1.50%,0.144,0.852,0.004,9.2M,84.70%
Bahrain,Middle East,12/1/2012,1.60%,0.202,0.777,0.021,1.3M,88.60%
Iran,Middle East,12/1/2012,1.90%,0.237,0.711,0.052,76.4M,71.80%
Saudi Arabia,Middle East,12/1/2012,2.00%,0.297,0.674,0.029,28.3M,82.50%
Kuwait,Middle East,12/1/2012,2.10%,0.249,0.729,0.022,3.3M,98.30%
Oman,Middle East,12/1/2012,2.10%,0.242,0.731,0.028,3.3M,76.20%
Israel,Middle East,12/1/2012,2.20%,0.275,0.619,0.105,7.9M,91.90%
Syria,Middle East,12/1/2012,2.40%,0.354,0.607,0.039,22.4M,56.50%
Jordan,Middle East,12/1/2012,2.80%,0.341,0.624,0.035,6.3M,83.00%
Yemen,Middle East,12/1/2012,3.10%,0.407,0.565,0.028,23.9M,32.90%
Iraq,Middle East,12/1/2012,3.10%,0.405,0.562,0.033,32.6M,69.20%
American Samoa,Oceania,12/1/2005,0,0,0,0,0.1M,88.10%
Australia,Oceania,12/1/2005,1.30%,0.198,0.673,0.129,20.4M,88.00%
New Zealand,Oceania,12/1/2005,1.40%,0.215,0.664,0.12,4.1M,86.10%
New Caledonia,Oceania,12/1/2005,1.70%,0.269,0.662,0.069,0.2M,64.00%
French Polynesia,Oceania,12/1/2005,1.80%,0.277,0.672,0.05,0.3M,56.40%
Guam,Oceania,12/1/2005,1.90%,0.295,0.641,0.064,0.2M,93.60%
Fiji,Oceania,12/1/2005,2.30%,0.306,0.653,0.041,0.8M,49.90%
Kiribati,Oceania,12/1/2005,2.50%,0.371,0.593,0.036,0.1M,43.60%
"Micronesia, Fed. Sts.",Oceania,12/1/2005,2.60%,0.388,0.572,0.04,0.1M,22.30%
Vanuatu,Oceania,12/1/2005,2.90%,0.397,0.57,0.033,0.2M,23.10%
Samoa,Oceania,12/1/2005,2.90%,0.396,0.556,0.048,0.2M,21.20%
Tonga,Oceania,12/1/2005,2.90%,0.381,0.559,0.06,0.1M,23.20%
Papua New Guinea,Oceania,12/1/2005,3.30%,0.4,0.574,0.026,6.1M,13.10%
Marshall Islands,Oceania,12/1/2005,3.50%,0,0,0,0.1M,69.90%
Solomon Islands,Oceania,12/1/2005,3.50%,0.413,0.557,0.03,0.5M,17.80%
Australia,Oceania,12/1/2006,1.30%,0.195,0.674,0.13,20.7M,88.20%
New Zealand,Oceania,12/1/2006,1.40%,0.213,0.666,0.121,4.2M,86.10%
French Polynesia,Oceania,12/1/2006,1.80%,0.269,0.678,0.053,0.3M,56.60%
New Caledonia,Oceania,12/1/2006,1.80%,0.262,0.664,0.074,0.2M,64.60%
Guam,Oceania,12/1/2006,1.90%,0.292,0.642,0.066,0.2M,93.70%
American Samoa,Oceania,12/1/2006,2.20%,0,0,0,0.1M,88.00%
Fiji,Oceania,12/1/2006,2.30%,0.3,0.657,0.042,0.8M,50.30%
Kiribati,Oceania,12/1/2006,2.40%,0.364,0.6,0.037,0.1M,43.60%
"Micronesia, Fed. Sts.",Oceania,12/1/2006,2.50%,0.385,0.575,0.04,0.1M,22.30%
Vanuatu,Oceania,12/1/2006,2.90%,0.394,0.572,0.034,0.2M,23.40%
Samoa,Oceania,12/1/2006,2.90%,0.393,0.558,0.049,0.2M,21.00%
Tonga,Oceania,12/1/2006,2.90%,0.38,0.56,0.06,0.1M,23.20%
Papua New Guinea,Oceania,12/1/2006,3.20%,0.399,0.575,0.026,6.2M,13.10%
Solomon Islands,Oceania,12/1/2006,3.40%,0.412,0.557,0.03,0.5M,18.30%
Marshall Islands,Oceania,12/1/2006,3.50%,0,0,0,0.1M,70.20%
American Samoa,Oceania,12/1/2007,0,0,0,0,0.1M,87.90%
Australia,Oceania,12/1/2007,1.40%,0.193,0.676,0.131,20.8M,88.30%
New Zealand,Oceania,12/1/2007,1.50%,0.211,0.666,0.123,4.2M,86.10%
New Caledonia,Oceania,12/1/2007,1.70%,0.255,0.665,0.08,0.2M,65.30%
French Polynesia,Oceania,12/1/2007,1.80%,0.26,0.683,0.057,0.3M,56.80%
Guam,Oceania,12/1/2007,1.90%,0.288,0.645,0.067,0.2M,93.80%
Fiji,Oceania,12/1/2007,2.30%,0.296,0.66,0.044,0.8M,50.70%
Kiribati,Oceania,12/1/2007,2.40%,0.357,0.606,0.037,0.1M,43.60%
"Micronesia, Fed. Sts.",Oceania,12/1/2007,2.50%,0.382,0.579,0.039,0.1M,22.30%
Vanuatu,Oceania,12/1/2007,2.80%,0.391,0.573,0.036,0.2M,23.70%
Tonga,Oceania,12/1/2007,2.80%,0.379,0.561,0.06,0.1M,23.20%
Samoa,Oceania,12/1/2007,2.90%,0.39,0.56,0.049,0.2M,20.80%
Papua New Guinea,Oceania,12/1/2007,3.20%,0.397,0.576,0.027,6.4M,13.10%
Solomon Islands,Oceania,12/1/2007,3.40%,0.411,0.558,0.031,0.5M,18.70%
Marshall Islands,Oceania,12/1/2007,3.50%,0,0,0,0.1M,70.50%
American Samoa,Oceania,12/1/2008,0,0,0,0,0.1M,87.80%
